INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2014-05-16T04:00:00-00:00,2014-05-16T05:00:00-00:00,7,2014-05-15,22,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,34094.84,7DA,1
2014-05-16T05:00:00-00:00,2014-05-16T06:00:00-00:00,7,2014-05-15,23,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,30670.26,7DA,1
2014-05-15T07:00:00-00:00,2014-05-15T08:00:00-00:00,7,2014-05-15,1,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,24900.78,7DA,1
2014-05-15T10:00:00-00:00,2014-05-15T11:00:00-00:00,7,2014-05-15,4,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,21947.56,7DA,1
2014-05-15T22:00:00-00:00,2014-05-15T23:00:00-00:00,7,2014-05-15,16,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,38555.89,7DA,1
2014-05-15T11:00:00-00:00,2014-05-15T12:00:00-00:00,7,2014-05-15,5,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,22132.47,7DA,1
2014-05-15T14:00:00-00:00,2014-05-15T15:00:00-00:00,7,2014-05-15,8,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,26830.04,7DA,1
2014-05-15T15:00:00-00:00,2014-05-15T16:00:00-00:00,7,2014-05-15,9,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,28552.37,7DA,1
2014-05-16T00:00:00-00:00,2014-05-16T01:00:00-00:00,7,2014-05-15,18,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,38415.39,7DA,1
2014-05-16T02:00:00-00:00,2014-05-16T03:00:00-00:00,7,2014-05-15,20,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,36140.25,7DA,1
2014-05-16T03:00:00-00:00,2014-05-16T04:00:00-00:00,7,2014-05-15,21,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,36005.11,7DA,1
2014-05-15T09:00:00-00:00,2014-05-15T10:00:00-00:00,7,2014-05-15,3,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,22385.16,7DA,1
2014-05-15T13:00:00-00:00,2014-05-15T14:00:00-00:00,7,2014-05-15,7,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,24703.46,7DA,1
2014-05-15T16:00:00-00:00,2014-05-15T17:00:00-00:00,7,2014-05-15,10,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,30230.41,7DA,1
2014-05-15T23:00:00-00:00,2014-05-16T00:00:00-00:00,7,2014-05-15,17,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,39022.71,7DA,1
2014-05-15T08:00:00-00:00,2014-05-15T09:00:00-00:00,7,2014-05-15,2,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,23306.7,7DA,1
2014-05-15T17:00:00-00:00,2014-05-15T18:00:00-00:00,7,2014-05-15,11,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,32195.56,7DA,1
2014-05-15T18:00:00-00:00,2014-05-15T19:00:00-00:00,7,2014-05-15,12,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,33718.98,7DA,1
2014-05-15T19:00:00-00:00,2014-05-15T20:00:00-00:00,7,2014-05-15,13,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,35032.49,7DA,1
2014-05-15T20:00:00-00:00,2014-05-15T21:00:00-00:00,7,2014-05-15,14,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,36664.95,7DA,1
2014-05-15T12:00:00-00:00,2014-05-15T13:00:00-00:00,7,2014-05-15,6,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,23194.21,7DA,1
2014-05-15T21:00:00-00:00,2014-05-15T22:00:00-00:00,7,2014-05-15,15,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,37708.18,7DA,1
