INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2014-07-01T14:00:00-00:00,2014-07-01T15:00:00-00:00,7,2014-07-01,8,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,27689.7,7DA,1
2014-07-01T16:00:00-00:00,2014-07-01T17:00:00-00:00,7,2014-07-01,10,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,31575.91,7DA,1
2014-07-02T03:00:00-00:00,2014-07-02T04:00:00-00:00,7,2014-07-01,21,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,37301.23,7DA,1
2014-07-01T10:00:00-00:00,2014-07-01T11:00:00-00:00,7,2014-07-01,4,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,23499.13,7DA,1
2014-07-01T21:00:00-00:00,2014-07-01T22:00:00-00:00,7,2014-07-01,15,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,39542.25,7DA,1
2014-07-02T05:00:00-00:00,2014-07-02T06:00:00-00:00,7,2014-07-01,23,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,32695.5,7DA,1
2014-07-01T09:00:00-00:00,2014-07-01T10:00:00-00:00,7,2014-07-01,3,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,24043.55,7DA,1
2014-07-01T20:00:00-00:00,2014-07-01T21:00:00-00:00,7,2014-07-01,14,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,38092.63,7DA,1
2014-07-02T00:00:00-00:00,2014-07-02T01:00:00-00:00,7,2014-07-01,18,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,41166.54,7DA,1
2014-07-01T12:00:00-00:00,2014-07-01T13:00:00-00:00,7,2014-07-01,6,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,24465.74,7DA,1
