INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2012-12-01T13:00:00-00:00,2012-12-01T14:00:00-00:00,7,2012-12-01,6,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,20081.13,7DA,1
2012-12-01T19:00:00-00:00,2012-12-01T20:00:00-00:00,7,2012-12-01,12,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,24470.84,7DA,1
2012-12-02T07:00:00-00:00,2012-12-02T08:00:00-00:00,7,2012-12-01,24,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,22349.39,7DA,1
2012-12-02T04:00:00-00:00,2012-12-02T05:00:00-00:00,7,2012-12-01,21,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,26660.45,7DA,1
2012-12-01T18:00:00-00:00,2012-12-01T19:00:00-00:00,7,2012-12-01,11,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,24479.47,7DA,1
2012-12-01T09:00:00-00:00,2012-12-01T10:00:00-00:00,7,2012-12-01,2,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,20288.53,7DA,1
2012-12-01T12:00:00-00:00,2012-12-01T13:00:00-00:00,7,2012-12-01,5,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,19423.07,7DA,1
2012-12-01T15:00:00-00:00,2012-12-01T16:00:00-00:00,7,2012-12-01,8,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,21926.37,7DA,1
2012-12-01T08:00:00-00:00,2012-12-01T09:00:00-00:00,7,2012-12-01,1,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,21412.33,7DA,1
2012-12-02T03:00:00-00:00,2012-12-02T04:00:00-00:00,7,2012-12-01,20,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,27379.07,7DA,1
