INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2013-01-02T01:00:00-00:00,2013-01-02T02:00:00-00:00,7,2013-01-01,18,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,121.58,7DA,1
2013-01-01T14:00:00-00:00,2013-01-01T15:00:00-00:00,7,2013-01-01,7,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,534.17,7DA,1
2013-01-01T08:00:00-00:00,2013-01-01T09:00:00-00:00,7,2013-01-01,1,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,748.42,7DA,1
2013-01-01T16:00:00-00:00,2013-01-01T17:00:00-00:00,7,2013-01-01,9,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,246.83,7DA,1
2013-01-01T22:00:00-00:00,2013-01-01T23:00:00-00:00,7,2013-01-01,15,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,69.92,7DA,1
2013-01-01T23:00:00-00:00,2013-01-02T00:00:00-00:00,7,2013-01-01,16,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,69.08,7DA,1
2013-01-02T03:00:00-00:00,2013-01-02T04:00:00-00:00,7,2013-01-01,20,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,120.33,7DA,1
2013-01-01T09:00:00-00:00,2013-01-01T10:00:00-00:00,7,2013-01-01,2,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,756.75,7DA,1
2013-01-01T13:00:00-00:00,2013-01-01T14:00:00-00:00,7,2013-01-01,6,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,726.33,7DA,1
2013-01-01T21:00:00-00:00,2013-01-01T22:00:00-00:00,7,2013-01-01,14,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,70.25,7DA,1
2013-01-01T12:00:00-00:00,2013-01-01T13:00:00-00:00,7,2013-01-01,5,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,758.42,7DA,1
2013-01-02T04:00:00-00:00,2013-01-02T05:00:00-00:00,7,2013-01-01,21,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,120.08,7DA,1
2013-01-01T15:00:00-00:00,2013-01-01T16:00:00-00:00,7,2013-01-01,8,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,329.83,7DA,1
2013-01-01T18:00:00-00:00,2013-01-01T19:00:00-00:00,7,2013-01-01,11,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,72.42,7DA,1
2013-01-02T06:00:00-00:00,2013-01-02T07:00:00-00:00,7,2013-01-01,23,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,180,7DA,1
2013-01-01T19:00:00-00:00,2013-01-01T20:00:00-00:00,7,2013-01-01,12,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,113.67,7DA,1
2013-01-02T02:00:00-00:00,2013-01-02T03:00:00-00:00,7,2013-01-01,19,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,121.33,7DA,1
2013-01-02T07:00:00-00:00,2013-01-02T08:00:00-00:00,7,2013-01-01,24,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,316.33,7DA,1
2013-01-01T10:00:00-00:00,2013-01-01T11:00:00-00:00,7,2013-01-01,3,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,756,7DA,1
2013-01-01T17:00:00-00:00,2013-01-01T18:00:00-00:00,7,2013-01-01,10,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,185,7DA,1
