INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2014-01-15T18:00:00-00:00,2014-01-15T19:00:00-00:00,7,2014-01-15,11,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,26534.35,7DA,1
2014-01-16T07:00:00-00:00,2014-01-16T08:00:00-00:00,7,2014-01-15,24,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,22381.48,7DA,1
2014-01-15T16:00:00-00:00,2014-01-15T17:00:00-00:00,7,2014-01-15,9,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,26397.42,7DA,1
2014-01-15T14:00:00-00:00,2014-01-15T15:00:00-00:00,7,2014-01-15,7,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,24624.44,7DA,1
2014-01-15T20:00:00-00:00,2014-01-15T21:00:00-00:00,7,2014-01-15,13,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,26492.62,7DA,1
2014-01-15T21:00:00-00:00,2014-01-15T22:00:00-00:00,7,2014-01-15,14,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,26595.39,7DA,1
2014-01-16T01:00:00-00:00,2014-01-16T02:00:00-00:00,7,2014-01-15,18,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,29529.4,7DA,1
2014-01-15T15:00:00-00:00,2014-01-15T16:00:00-00:00,7,2014-01-15,8,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,26070.29,7DA,1
2014-01-15T22:00:00-00:00,2014-01-15T23:00:00-00:00,7,2014-01-15,15,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,26632.88,7DA,1
2014-01-15T23:00:00-00:00,2014-01-16T00:00:00-00:00,7,2014-01-15,16,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,26701.29,7DA,1
2014-01-15T09:00:00-00:00,2014-01-15T10:00:00-00:00,7,2014-01-15,2,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,20542.47,7DA,1
2014-01-16T00:00:00-00:00,2014-01-16T01:00:00-00:00,7,2014-01-15,17,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,27178.76,7DA,1
2014-01-15T12:00:00-00:00,2014-01-15T13:00:00-00:00,7,2014-01-15,5,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,20815.57,7DA,1
2014-01-15T17:00:00-00:00,2014-01-15T18:00:00-00:00,7,2014-01-15,10,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,26428.52,7DA,1
2014-01-16T04:00:00-00:00,2014-01-16T05:00:00-00:00,7,2014-01-15,21,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,28401.68,7DA,1
2014-01-15T11:00:00-00:00,2014-01-15T12:00:00-00:00,7,2014-01-15,4,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,20199.71,7DA,1
2014-01-15T13:00:00-00:00,2014-01-15T14:00:00-00:00,7,2014-01-15,6,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,22193.56,7DA,1
2014-01-15T19:00:00-00:00,2014-01-15T20:00:00-00:00,7,2014-01-15,12,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,26542.5,7DA,1
2014-01-16T03:00:00-00:00,2014-01-16T04:00:00-00:00,7,2014-01-15,20,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,29434.96,7DA,1
