INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2014-05-02T04:00:00-00:00,2014-05-02T05:00:00-00:00,7,2014-05-01,22,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,31168.3,7DA,1
2014-05-01T21:00:00-00:00,2014-05-01T22:00:00-00:00,7,2014-05-01,15,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,33046.09,7DA,1
2014-05-01T17:00:00-00:00,2014-05-01T18:00:00-00:00,7,2014-05-01,11,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,29627.05,7DA,1
2014-05-02T02:00:00-00:00,2014-05-02T03:00:00-00:00,7,2014-05-01,20,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,32224.24,7DA,1
2014-05-01T09:00:00-00:00,2014-05-01T10:00:00-00:00,7,2014-05-01,3,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,21394.12,7DA,1
2014-05-02T06:00:00-00:00,2014-05-02T07:00:00-00:00,7,2014-05-01,24,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,25391.26,7DA,1
2014-05-01T19:00:00-00:00,2014-05-01T20:00:00-00:00,7,2014-05-01,13,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,31333.68,7DA,1
2014-05-02T03:00:00-00:00,2014-05-02T04:00:00-00:00,7,2014-05-01,21,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,32927.23,7DA,1
2014-05-01T16:00:00-00:00,2014-05-01T17:00:00-00:00,7,2014-05-01,10,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,28495.87,7DA,1
2014-05-01T15:00:00-00:00,2014-05-01T16:00:00-00:00,7,2014-05-01,9,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,27414.17,7DA,1
2014-05-01T13:00:00-00:00,2014-05-01T14:00:00-00:00,7,2014-05-01,7,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,24216.87,7DA,1
2014-05-01T23:00:00-00:00,2014-05-02T00:00:00-00:00,7,2014-05-01,17,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,33813.88,7DA,1
2014-05-01T11:00:00-00:00,2014-05-01T12:00:00-00:00,7,2014-05-01,5,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,21365.19,7DA,1
2014-05-02T01:00:00-00:00,2014-05-02T02:00:00-00:00,7,2014-05-01,19,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,32530.22,7DA,1
2014-05-01T14:00:00-00:00,2014-05-01T15:00:00-00:00,7,2014-05-01,8,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,26152.59,7DA,1
2014-05-02T05:00:00-00:00,2014-05-02T06:00:00-00:00,7,2014-05-01,23,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,28243.26,7DA,1
2014-05-02T00:00:00-00:00,2014-05-02T01:00:00-00:00,7,2014-05-01,18,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,33382.86,7DA,1
2014-05-01T08:00:00-00:00,2014-05-01T09:00:00-00:00,7,2014-05-01,2,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,22115.07,7DA,1
2014-05-01T07:00:00-00:00,2014-05-01T08:00:00-00:00,7,2014-05-01,1,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,23280.38,7DA,1
2014-05-01T22:00:00-00:00,2014-05-01T23:00:00-00:00,7,2014-05-01,16,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,33588.13,7DA,1
2014-05-01T20:00:00-00:00,2014-05-01T21:00:00-00:00,7,2014-05-01,14,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,32335.48,7DA,1
2014-05-01T18:00:00-00:00,2014-05-01T19:00:00-00:00,7,2014-05-01,12,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,30573.46,7DA,1
2014-05-01T12:00:00-00:00,2014-05-01T13:00:00-00:00,7,2014-05-01,6,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,22531.52,7DA,1
2014-05-01T10:00:00-00:00,2014-05-01T11:00:00-00:00,7,2014-05-01,4,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,21060.79,7DA,1
2014-05-01T23:00:00-00:00,2014-05-02T00:00:00-00:00,7,2014-05-01,17,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,15675.28,7DA,2
2014-05-02T03:00:00-00:00,2014-05-02T04:00:00-00:00,7,2014-05-01,21,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,15297.24,7DA,2
2014-05-01T16:00:00-00:00,2014-05-01T17:00:00-00:00,7,2014-05-01,10,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,13233.8,7DA,2
2014-05-01T21:00:00-00:00,2014-05-01T22:00:00-00:00,7,2014-05-01,15,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,15112.54,7DA,2
2014-05-01T13:00:00-00:00,2014-05-01T14:00:00-00:00,7,2014-05-01,7,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,11461.75,7DA,2
2014-05-02T06:00:00-00:00,2014-05-02T07:00:00-00:00,7,2014-05-01,24,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,11881.81,7DA,2
2014-05-01T08:00:00-00:00,2014-05-01T09:00:00-00:00,7,2014-05-01,2,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,10441.84,7DA,2
2014-05-01T07:00:00-00:00,2014-05-01T08:00:00-00:00,7,2014-05-01,1,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,10963.37,7DA,2
2014-05-01T17:00:00-00:00,2014-05-01T18:00:00-00:00,7,2014-05-01,11,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,13690.14,7DA,2
2014-05-02T05:00:00-00:00,2014-05-02T06:00:00-00:00,7,2014-05-01,23,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,13238.8,7DA,2
2014-05-01T09:00:00-00:00,2014-05-01T10:00:00-00:00,7,2014-05-01,3,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,10112.54,7DA,2
2014-05-02T00:00:00-00:00,2014-05-02T01:00:00-00:00,7,2014-05-01,18,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,15614.17,7DA,2
2014-05-02T02:00:00-00:00,2014-05-02T03:00:00-00:00,7,2014-05-01,20,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,15031.26,7DA,2
2014-05-01T10:00:00-00:00,2014-05-01T11:00:00-00:00,7,2014-05-01,4,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,9956.18,7DA,2
2014-05-01T19:00:00-00:00,2014-05-01T20:00:00-00:00,7,2014-05-01,13,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,14319.94,7DA,2
2014-05-01T18:00:00-00:00,2014-05-01T19:00:00-00:00,7,2014-05-01,12,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,14048.79,7DA,2
2014-05-01T11:00:00-00:00,2014-05-01T12:00:00-00:00,7,2014-05-01,5,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,10101.28,7DA,2
2014-05-01T15:00:00-00:00,2014-05-01T16:00:00-00:00,7,2014-05-01,9,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,12854.3,7DA,2
2014-05-01T14:00:00-00:00,2014-05-01T15:00:00-00:00,7,2014-05-01,8,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,12382.48,7DA,2
2014-05-01T12:00:00-00:00,2014-05-01T13:00:00-00:00,7,2014-05-01,6,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,10611.28,7DA,2
2014-05-02T04:00:00-00:00,2014-05-02T05:00:00-00:00,7,2014-05-01,22,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,14556.77,7DA,2
2014-05-02T01:00:00-00:00,2014-05-02T02:00:00-00:00,7,2014-05-01,19,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,15374.46,7DA,2
2014-05-01T22:00:00-00:00,2014-05-01T23:00:00-00:00,7,2014-05-01,16,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,15424.81,7DA,2
2014-05-01T20:00:00-00:00,2014-05-01T21:00:00-00:00,7,2014-05-01,14,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,14768.15,7DA,2
