INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2012-05-01T19:00:00-00:00,2012-05-01T20:00:00-00:00,7,2012-05-01,13,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,28083.79,7DA,1
2012-05-01T15:00:00-00:00,2012-05-01T16:00:00-00:00,7,2012-05-01,9,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,25800.41,7DA,1
2012-05-02T05:00:00-00:00,2012-05-02T06:00:00-00:00,7,2012-05-01,23,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,25501.66,7DA,1
2012-05-01T09:00:00-00:00,2012-05-01T10:00:00-00:00,7,2012-05-01,3,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,19824.92,7DA,1
2012-05-01T13:00:00-00:00,2012-05-01T14:00:00-00:00,7,2012-05-01,7,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,22716.87,7DA,1
2012-05-01T18:00:00-00:00,2012-05-01T19:00:00-00:00,7,2012-05-01,12,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,27921.69,7DA,1
2012-05-01T20:00:00-00:00,2012-05-01T21:00:00-00:00,7,2012-05-01,14,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,28472.82,7DA,1
2012-05-01T21:00:00-00:00,2012-05-01T22:00:00-00:00,7,2012-05-01,15,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,28595.02,7DA,1
2012-05-01T08:00:00-00:00,2012-05-01T09:00:00-00:00,7,2012-05-01,2,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,20361.72,7DA,1
2012-05-01T22:00:00-00:00,2012-05-01T23:00:00-00:00,7,2012-05-01,16,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,28584.74,7DA,1
2012-05-02T00:00:00-00:00,2012-05-02T01:00:00-00:00,7,2012-05-01,18,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,28078.66,7DA,1
2012-05-02T06:00:00-00:00,2012-05-02T07:00:00-00:00,7,2012-05-01,24,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,23203.97,7DA,1
2012-05-01T10:00:00-00:00,2012-05-01T11:00:00-00:00,7,2012-05-01,4,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,19585.34,7DA,1
2012-05-01T11:00:00-00:00,2012-05-01T12:00:00-00:00,7,2012-05-01,5,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,19644.92,7DA,1
2012-05-01T23:00:00-00:00,2012-05-02T00:00:00-00:00,7,2012-05-01,17,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,28435.01,7DA,1
2012-05-01T07:00:00-00:00,2012-05-01T08:00:00-00:00,7,2012-05-01,1,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,21296,7DA,1
2012-05-01T17:00:00-00:00,2012-05-01T18:00:00-00:00,7,2012-05-01,11,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,27441.5,7DA,1
2012-05-02T03:00:00-00:00,2012-05-02T04:00:00-00:00,7,2012-05-01,21,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,29183.34,7DA,1
2012-05-01T16:00:00-00:00,2012-05-01T17:00:00-00:00,7,2012-05-01,10,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,26663.71,7DA,1
2012-05-02T02:00:00-00:00,2012-05-02T03:00:00-00:00,7,2012-05-01,20,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,28127.82,7DA,1
2012-05-02T04:00:00-00:00,2012-05-02T05:00:00-00:00,7,2012-05-01,22,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,27888.08,7DA,1
2012-05-01T12:00:00-00:00,2012-05-01T13:00:00-00:00,7,2012-05-01,6,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,20936.36,7DA,1
2012-05-01T14:00:00-00:00,2012-05-01T15:00:00-00:00,7,2012-05-01,8,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,24892.81,7DA,1
2012-05-02T01:00:00-00:00,2012-05-02T02:00:00-00:00,7,2012-05-01,19,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,27747.08,7DA,1
2012-05-01T17:00:00-00:00,2012-05-01T18:00:00-00:00,7,2012-05-01,11,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,12313,7DA,2
2012-05-02T02:00:00-00:00,2012-05-02T03:00:00-00:00,7,2012-05-01,20,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,12724.21,7DA,2
2012-05-01T11:00:00-00:00,2012-05-01T12:00:00-00:00,7,2012-05-01,5,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,9042.33,7DA,2
2012-05-01T18:00:00-00:00,2012-05-01T19:00:00-00:00,7,2012-05-01,12,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,12431.17,7DA,2
2012-05-01T19:00:00-00:00,2012-05-01T20:00:00-00:00,7,2012-05-01,13,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,12401.96,7DA,2
2012-05-01T08:00:00-00:00,2012-05-01T09:00:00-00:00,7,2012-05-01,2,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,9301.35,7DA,2
2012-05-01T22:00:00-00:00,2012-05-01T23:00:00-00:00,7,2012-05-01,16,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,12633.49,7DA,2
2012-05-02T00:00:00-00:00,2012-05-02T01:00:00-00:00,7,2012-05-01,18,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,12650.65,7DA,2
2012-05-01T23:00:00-00:00,2012-05-02T00:00:00-00:00,7,2012-05-01,17,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,12674.31,7DA,2
2012-05-02T01:00:00-00:00,2012-05-02T02:00:00-00:00,7,2012-05-01,19,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,12642.34,7DA,2
2012-05-02T03:00:00-00:00,2012-05-02T04:00:00-00:00,7,2012-05-01,21,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,13243.87,7DA,2
2012-05-02T04:00:00-00:00,2012-05-02T05:00:00-00:00,7,2012-05-01,22,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,12807.9,7DA,2
2012-05-02T06:00:00-00:00,2012-05-02T07:00:00-00:00,7,2012-05-01,24,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,10626.47,7DA,2
2012-05-01T15:00:00-00:00,2012-05-01T16:00:00-00:00,7,2012-05-01,9,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,11821.62,7DA,2
2012-05-01T16:00:00-00:00,2012-05-01T17:00:00-00:00,7,2012-05-01,10,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,12060.04,7DA,2
2012-05-01T12:00:00-00:00,2012-05-01T13:00:00-00:00,7,2012-05-01,6,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,9610.15,7DA,2
2012-05-01T14:00:00-00:00,2012-05-01T15:00:00-00:00,7,2012-05-01,8,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,11454.97,7DA,2
2012-05-01T20:00:00-00:00,2012-05-01T21:00:00-00:00,7,2012-05-01,14,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,12537.38,7DA,2
2012-05-02T05:00:00-00:00,2012-05-02T06:00:00-00:00,7,2012-05-01,23,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,11723.43,7DA,2
2012-05-01T21:00:00-00:00,2012-05-01T22:00:00-00:00,7,2012-05-01,15,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,12601.61,7DA,2
2012-05-01T07:00:00-00:00,2012-05-01T08:00:00-00:00,7,2012-05-01,1,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,9722.02,7DA,2
2012-05-01T09:00:00-00:00,2012-05-01T10:00:00-00:00,7,2012-05-01,3,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,9057.3,7DA,2
2012-05-01T10:00:00-00:00,2012-05-01T11:00:00-00:00,7,2012-05-01,4,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,8956.48,7DA,2
2012-05-01T13:00:00-00:00,2012-05-01T14:00:00-00:00,7,2012-05-01,7,0,7DA,PGE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,10454.09,7DA,2
2012-05-01T22:00:00-00:00,2012-05-01T23:00:00-00:00,7,2012-05-01,16,0,7DA,SCE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,13246.06,7DA,3
2012-05-01T10:00:00-00:00,2012-05-01T11:00:00-00:00,7,2012-05-01,4,0,7DA,SCE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,8933.23,7DA,3
2012-05-01T07:00:00-00:00,2012-05-01T08:00:00-00:00,7,2012-05-01,1,0,7DA,SCE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,9695.8,7DA,3
2012-05-02T05:00:00-00:00,2012-05-02T06:00:00-00:00,7,2012-05-01,23,0,7DA,SCE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,11416.2,7DA,3
2012-05-02T03:00:00-00:00,2012-05-02T04:00:00-00:00,7,2012-05-01,21,0,7DA,SCE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,13101.28,7DA,3
2012-05-01T13:00:00-00:00,2012-05-01T14:00:00-00:00,7,2012-05-01,7,0,7DA,SCE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,10171.22,7DA,3
2012-05-02T01:00:00-00:00,2012-05-02T02:00:00-00:00,7,2012-05-01,19,0,7DA,SCE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,12459.35,7DA,3
2012-05-01T14:00:00-00:00,2012-05-01T15:00:00-00:00,7,2012-05-01,8,0,7DA,SCE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,11154.54,7DA,3
2012-05-01T20:00:00-00:00,2012-05-01T21:00:00-00:00,7,2012-05-01,14,0,7DA,SCE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,13228.52,7DA,3
2012-05-01T16:00:00-00:00,2012-05-01T17:00:00-00:00,7,2012-05-01,10,0,7DA,SCE-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,12090.28,7DA,3
