INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2014-11-01T12:00:00-00:00,2014-11-01T13:00:00-00:00,7,2014-11-01,6,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,20217.88,7DA,1
2014-11-02T00:00:00-00:00,2014-11-02T01:00:00-00:00,7,2014-11-01,18,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,25945.64,7DA,1
2014-11-01T20:00:00-00:00,2014-11-01T21:00:00-00:00,7,2014-11-01,14,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,24674.8,7DA,1
2014-11-02T03:00:00-00:00,2014-11-02T04:00:00-00:00,7,2014-11-01,21,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,26801.03,7DA,1
2014-11-01T10:00:00-00:00,2014-11-01T11:00:00-00:00,7,2014-11-01,4,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,19786.22,7DA,1
2014-11-02T05:00:00-00:00,2014-11-02T06:00:00-00:00,7,2014-11-01,23,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,24162.44,7DA,1
2014-11-02T01:00:00-00:00,2014-11-02T02:00:00-00:00,7,2014-11-01,19,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,27636.02,7DA,1
2014-11-01T15:00:00-00:00,2014-11-01T16:00:00-00:00,7,2014-11-01,9,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,22738.34,7DA,1
2014-11-01T18:00:00-00:00,2014-11-01T19:00:00-00:00,7,2014-11-01,12,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,24140.45,7DA,1
2014-11-01T16:00:00-00:00,2014-11-01T17:00:00-00:00,7,2014-11-01,10,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,23595.23,7DA,1
2014-11-01T22:00:00-00:00,2014-11-01T23:00:00-00:00,7,2014-11-01,16,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,25271.41,7DA,1
2014-11-01T19:00:00-00:00,2014-11-01T20:00:00-00:00,7,2014-11-01,13,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,24381.88,7DA,1
2014-11-01T08:00:00-00:00,2014-11-01T09:00:00-00:00,7,2014-11-01,2,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,20927.08,7DA,1
2014-11-01T14:00:00-00:00,2014-11-01T15:00:00-00:00,7,2014-11-01,8,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,21893.97,7DA,1
2014-11-02T02:00:00-00:00,2014-11-02T03:00:00-00:00,7,2014-11-01,20,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,27709.62,7DA,1
2014-11-01T07:00:00-00:00,2014-11-01T08:00:00-00:00,7,2014-11-01,1,0,7DA,CA ISO-TAC,Demand Forecast 7-Day Ahead,SYS_FCST_7DA_MW,0,22063.25,7DA,1
