Day,Past 90 days
2014-04-24,48
2014-04-25,58
2014-04-26,47
2014-04-27,46
2014-04-28,68
2014-04-29,62
2014-04-30,61
2014-05-01,49
2014-05-02,49
2014-05-03,45
2014-05-04,50
2014-05-05,50
2014-05-06,35
2014-05-07,42
2014-05-08,48
2014-05-09,65
2014-05-10,57
2014-05-11,57
2014-05-12,71
2014-05-13,57
2014-05-14,67
2014-05-15,65
2014-05-16,62
2014-05-17,63
2014-05-18,60
2014-05-19,35
2014-05-20,48
2014-05-21,57
2014-05-22,59
2014-05-23,44
2014-05-24,50
2014-05-25,47
2014-05-26,53
2014-05-27,68
2014-05-28,52
2014-05-29,57
2014-05-30,40
2014-05-31,38
2014-06-01,50
2014-06-02,46
2014-06-03,56
2014-06-04,100
2014-06-05,55
2014-06-06,32
2014-06-07,30
2014-06-08,48
2014-06-09,50
2014-06-10,41
2014-06-11,85
2014-06-12,52
2014-06-13,49
2014-06-14,26
2014-06-15,34
2014-06-16,50
2014-06-17,40
2014-06-18,46
2014-06-19,66
2014-06-20,58
2014-06-21,60
2014-06-22,40
2014-06-23,32
2014-06-24,37
2014-06-25,54
2014-06-26,30
2014-06-27,33
2014-06-28,43
2014-06-29,37
2014-06-30,37
2014-07-01,46
2014-07-02,57
2014-07-03,59
2014-07-04,47
2014-07-05,34
2014-07-06,33
2014-07-07,31
2014-07-08,74
2014-07-09,42
2014-07-10,25
2014-07-11,28
2014-07-12,36
2014-07-13,65
2014-07-14,71
2014-07-15,39
2014-07-16,32
2014-07-17,32
2014-07-18,47
2014-07-19,49
2014-07-20,46
2014-07-21,21
2014-07-22,20
2014-07-23,30
2014-07-24,29
2014-07-25,22
2014-07-26,44
2014-07-27,100
2014-07-28,50
2014-07-29,26
2014-07-30,28
2014-07-31,19
2014-08-01,29
2014-08-02,41
2014-08-03, 
2014-08-04, 
